formula,bg,formation_energy,mp-id
Nb10Pb14O39,1.7517999999999991,-2.412029320079364,mp-1101724
CaTeO3,2.895,-2.411071277933333,mp-1366217
Ag3Sb4F24,0.012499999999999,-2.392955916774192,mp-1195261
Ca5(IO6)2,2.5412999999999992,-2.35833214131579,mp-1196062
US2O9,2.2009,-2.3576608375,mp-1201369
Ca(La2Se3)4,0.0,-2.354881227291667,mp-674712
Sr5(IO6)2,2.3981,-2.348817630263159,mp-1195789
CsLu7S11,2.031799999999999,-2.327747773227465,mp-1202825
Eu4Au2O9,0.0,-2.308757797166669,mp-21787
Bi7(O2F3)3,2.8232,-2.30518166784091,mp-759798
Ba2Fe2O5,0.0,-2.299320453968254,mp-1196071
Nb8S8O45,0.0,-2.283535784180328,mp-1202537
Nd10Se14O,1.3835,-2.279683287112499,mp-1202414
Pr10Se14O,1.3981,-2.277658247079165,mp-560835
Ba8(Bi2O7)3,0.0,-2.275886582428572,mp-867542
RePO6,2.1592,-2.269866994017858,mp-1203700
HoScS3,1.593,-2.266674389187497,mp-2755772
Ba11(Bi3O10)3,0.0,-2.2631415642,mp-1228932
Sb7Se8F35,1.903,-2.262925375575,mp-28684
La6CoCl11,0.631699999999999,-2.262123819583334,mp-1200333
Ba13Bi11O36,0.0,-2.258663117000002,mp-758120
ErScS3,1.58,-2.256375844354167,mp-2763526
BaIn2O4,1.090599999999999,-2.255538429583333,mp-578629
Bi5(PO5)3,3.155899999999999,-2.252476989192547,mp-1228070
Mg6Te5O16,3.0835,-2.249453331604938,mp-1210955
Dy2Au5F21,1.5532,-2.231789578511904,mp-1213210
Gd2Au5F21,1.5508,-2.206013992499999,mp-557726
Ca11Tl9O24,0.0,-2.203855225568183,mp-765152
Sb24(Cl7F17)5,1.8188,-2.18919820892361,mp-532120
Ca(Nd2Se3)4,0.0,-2.172969645773819,mp-38586
Ca(Pr2Se3)4,0.0,-2.171423621619361,mp-38347
BaRe2O9,0.4154,-2.144437589583334,mp-1214641
U(TeO3)3,1.8411,-2.139227860576923,mp-554219
Tm23Se32,0.0,-2.139217665863639,mp-684691
La9Al5S21,2.175,-2.130723805642856,mp-1223592
Pm2MgS4,1.2669,-2.128847990178571,mp-1232275
La8Sb2S15,1.935799999999999,-2.112946303799999,mp-1195582
CsLu7Se11,1.510499999999999,-2.104970995373848,mp-1203743
Li(MoO2)2,0.6557000000000001,-2.09160650595238,mp-2764466
ReSF4,0.3651,-2.074894630763889,mp-560960
