formula,bg,formation_energy,mp-id
ScF3,6.105700000000001,-4.217866632500001,mp-1078300
NaTh2F9,5.9514000000000005,-4.21724276625,mp-3269
ErZrF7,5.8927,-4.216252513148147,mp-1212965
LaHf2F11,6.609199999999999,-4.215849033928571,mp-1211227
Ba2PrF7,6.2167,-4.215402317666666,mp-676002
CeTh2O6,1.835099999999999,-4.215373725555555,mp-752798
KHo2F7,6.9847,-4.215229009974999,mp-31030
Ba5Y3F19,6.5926,-4.215059607962963,mp-778387
DyZrF7,5.9275,-4.214727647222222,mp-1212860
TbZrF7,5.9384,-4.214717442777778,mp-1208269
YOF,4.9203,-4.214092868333336,mp-3637
LaTh4OF19,1.154,-4.213862737199999,mp-1223007
HoZrF7,5.857200000000001,-4.2135028511111114,mp-1212068
La2Th5O13,2.425199999999999,-4.21308501175,mp-756142
Sr2LaF7,4.2539,-4.212864514000001,mp-675758
KTb2F7,6.8138,-4.211747999558333,mp-1211521
YZrF7,5.9222,-4.211328811111106,mp-1207624
BaHfF6,7.123200000000001,-4.210183255625,mp-1214420
SrF2,6.7674,-4.20881278,mp-981
Y2Th5O13,2.7207,-4.207758563249999,mp-757205
LaZrF7,6.031,-4.205594739999999,mp-1211385
TmPaO4,2.434,-4.201934376666671,mp-1216536
NdHf2F11,6.5541,-4.201867995535715,mp-1209873
LuPaO4,2.4908,-4.201163364444445,mp-1222263
SmZrF7,6.050800000000001,-4.200733338055556,mp-18506
SmOF,4.6648,-4.200559043333337,mp-9488
GdZrF7,4.4744,-4.19869627277777,mp-1212520
PrHf2F11,6.5539,-4.196558104047619,mp-1209557
ErPaO4,2.4341,-4.194246933333335,mp-1225447
PuF3,0.0,-4.190149390937499,mp-8033
HoPaO4,2.4203,-4.187053019166665,mp-1223799
Ba3YF9,6.3872,-4.184544535192308,mp-777258
GdOF,3.3747,-4.18451751,mp-753721
NdZrF7,5.9106,-4.184370040833333,mp-1209895
Ba3PrF9,5.8738,-4.18362401897436,mp-675426
DyPaO4,2.400399999999999,-4.182926425277777,mp-1225510
La2Th11O26,0.0,-4.182643999743592,mp-766253
TmF3,5.3798,-4.181989037499999,mp-865194
TbPaO4,2.786,-4.179962538611112,mp-1173104
Ca4ThF12,5.5356,-4.1784943504902055,mp-676893
CeZrF7,0.029399999999999,-4.176784459999995,mp-22724
KY2F7,6.7942,-4.176087540224999,mp-1211492
PrZrF7,5.943,-4.175093544074073,mp-1209283
ThZr2F12,5.5089,-4.175013110999999,mp-29062
Ce3Th4O14,1.9313,-4.172632269999997,mp-766570
Th3TlF13,5.7133,-4.169862054117643,mp-1194755
La2Th3O9,2.548199999999999,-4.168961438214284,mp-673677
Sr5Zr3F22,5.3672,-4.167500046999999,mp-29085
BaF2,6.6029,-4.162401843333335,mp-1029
Ba2ZrF8,5.9376,-4.161155802954545,mp-5900
Ba3ZrF10,5.7721,-4.160981510714286,mp-1214503
AcOF,4.256600000000001,-4.159415700833336,mp-36526
Ca3NdF9,6.136,-4.159132382371798,mp-673801
NdOF,4.5028,-4.1572077274999995,mp-5634
YPaO4,2.7864,-4.157152601666667,mp-1100867
NaY2F7,7.0369,-4.156960444499999,mp-675778
GdF3,2.862199999999999,-4.1566355175,mp-972965
LaZr2F11,5.7551,-4.154077068214286,mp-1192580
Ca2NdF7,5.2602,-4.153204206416666,mp-675896
Ca9PrF20,0.0,-4.144729332703704,mp-531110
GdPaO4,0.0,-4.141709236666668,mp-37014
SrZrF6,6.1738,-4.141602573125,mp-1208602
Ca5ThF14,4.8369,-4.140358005416674,mp-675846
CeThO4,1.6536,-4.140328989999998,mp-36734
NdZr2F11,5.7504,-4.139201722678571,mp-1209872
SmPaO4,2.758199999999999,-4.139033795,mp-1173297
BaZrF6,6.3299,-4.1375930259375,mp-556738
PrZr2F11,5.7611,-4.134151529761906,mp-554610
Tb3TlF10,5.8541,-4.134146750952381,mp-1208522
LaPaO4,2.329699999999999,-4.134119007499997,mp-1222782
NaY3F10,5.6276,-4.132753042500001,mp-676023
PmPaO4,2.780699999999999,-4.129576366249999,mp-1173352
Sm2Th3O9,2.6126,-4.128825371785715,mp-675813
Ca2HoF7,3.251299999999999,-4.126202660500001,mp-676867
LaTh4O10,0.0,-4.126057385666665,mp-756428
ScOF,4.4798,-4.125764553333335,mp-4661
PrOF,4.437099999999999,-4.12563557388889,mp-769173
Lu2O3,4.021100000000001,-4.123783570916665,mp-1427
CeZr2F11,0.3153,-4.123051020357143,mp-1213767
Ce3Th3O11,0.272199999999999,-4.120083553235292,mp-754176
NaHo2F7,6.6014,-4.120058317000003,mp-1173720
LuZr3F15,5.5385,-4.119150342061405,mp-531792
SmTh4O10,0.0,-4.117497835666666,mp-752473
YTh4O10,0.0,-4.116839210666666,mp-772510
Sr5Al2F16,6.9361999999999995,-4.116544838478261,mp-29978
RbSc3F10,5.407,-4.116232890178572,mp-1209235
Y3TlF10,5.8088,-4.115191565178573,mp-1207844
CePaO4,0.0,-4.114417969166666,mp-686050
YZr3F15,5.53,-4.107844359473685,mp-530429
Nd2Th3O9,2.4834,-4.107406755714286,mp-1173423
PrZr3F15,0.0,-4.106514681535087,mp-530217
NdPaO4,2.7599,-4.10603690375,mp-1173377
NdZr3F15,5.7436,-4.103935088552633,mp-1209866
La6Zr8F47,0.0,-4.10342093199798,mp-531991
Sr10Al2ClF25,6.4743,-4.103373948026316,mp-555507
HfF4,5.4058,-4.101514556333337,mp-31033
BaCaAlF7,7.1873000000000005,-4.1013565515,mp-18065
GdZr3F15,4.4577,-4.100263805131579,mp-530695
Ca5Zr3F22,5.3031,-4.098236494750011,mp-1203446
Ba3AlF9,6.7594,-4.097918263846154,mp-556863
EuZrF6,0.5628000000000001,-4.097677883750002,mp-1212698
