Material,PBEsol,HSE
TaPS,0.0,0.2854
TcPS,0.0,0.2854
TcP2S6,0.41100000000000003,1.0316561935
TcP2S8,0.0675,0.4039375094
TcP2S8,0.07060000000000001,0.4094194265
TcP2S7,0.0,0.2854
TcP4S12,0.0,0.2854
Tc2P3S,0.0,0.2854
Tl2PS3,0.0,0.2854
Tl2PS3,0.0,0.2854
Tl2PS3,1.7692999999999999,3.914895222
Tl2PS3,2.0519,4.5952203013
Tl2PS3,1.2288000000000001,2.6908949478
Tl3PS4,1.0085,2.2210894354
Tl3PS4,1.6902,3.7294355229000002
Tl3PS4,0.1153,0.4888358446
Tl3PS4,1.7279,3.8175570241
Tl3PS4,1.2947,2.8347037236
Tl3PS4,0.9979,2.1989088251
Tl4P2S7,1.6194000000000002,3.5652775385
Tl7P3S11,1.5063,3.3066507562
Tl7PS6,0.6945,1.5805700984
Tl7PS6,0.9168000000000001,2.0304965286
TlPS3,1.5295,3.3593405384
TlPS3,1.5312000000000001,3.3632087718
TlPS3,1.1703999999999999,2.5647123338
TlPS4,0.5815,1.3584362804
Tl2P4S13,0.9772000000000001,2.1557062721999998
TlPS3,0.0,0.2854
TlP2S7,0.0,0.2854
Tl2P3S9,0.6926,1.5767984809
TlPS,0.0,0.2854
TlPS4,0.4858,1.1737758045
TlPS4,0.36150000000000004,0.9386739704
Tl5P3S3,0.0,0.2854
TlPS,0.0,0.2854
TlPS,0.0,0.2854
TlPS,0.0,0.2854
TlPS4,1.0057,2.215226617
TlPS4,0.07740000000000001,0.42145595690000004
TlPS4,0.1904,0.6238235098
Tl2PS,0.0,0.2854
WPS,0.0,0.2854
WP2S6,0.0,0.2854
WP2S8,0.19690000000000002,0.6355988873
WP2S8,0.0,0.2854
WP2S7,0.5431,1.2839587853
WP4S12,0.4511,1.1076045649
W2P3S,0.0,0.2854
YPS4,2.0788,4.6614232578
Y2P4S13,1.9784000000000002,4.4156115082
YPS3,0.0,0.2854
YP2S7,0.0,0.2854
Y2P3S9,1.7829000000000002,3.9470008331
YPS,0.37970000000000004,0.9727625376000001
YPS4,2.0005,4.4694192434
YPS4,2.0828,4.6712890082000005
Y5P3S3,1.5993,3.518990365
YPS,0.0143,0.31038039900000003
YPS,1.4157,3.102676906
YPS,0.6589,1.5101100479
YPS4,1.4037,3.0758741152
YPS4,1.5934,3.5054301977
YPS4,2.0938,4.6984484493
Y2PS,0.0,0.2854
ZnPS3,1.9922,4.4491910357
ZnPS3,2.6429,6.1075584511
ZnPS3,2.0127,4.4991956638
ZnPS3,2.6946,6.2456210393
ZnPS3,2.0531,4.5981682423
Zn2P3S9,1.7149999999999999,3.7873485375
Zn2P2S7,2.4358,5.5638061245
Zn3P2S8,0.0,0.2854
Zn3P2S8,2.1302,4.7886208589
Zn3P2S8,1.9126,4.2564091649
Zn3P2S8,1.9177,4.2686948458
Zn3P2S8,2.2326,5.0447586689
ZnP2S6,0.0,0.2854
ZnP2S6,0.0,0.2854
ZnPS,0.0,0.2854
ZnPS,1.3401,2.9346535397
Zn4P2S,0.0,0.2854
Zn4P2S,0.0,0.2854
