Material,PBEsol,HSE
Co3P2S8,0.0,0.2854
Co3P2S8,0.0,0.2854
CoP2S6,0.0,0.2854
CoP2S6,0.0,0.2854
CoPS,1.0601,2.3296198237
CoPS,0.0,0.2854
Co4P2S,0.0,0.2854
Co4P2S,0.0,0.2854
CoPS4,0.6303000000000001,1.4538230686
Co2P4S13,0.6969000000000001,1.5853360373
CoPS3,0.0,0.2854
CoP2S7,0.0,0.2854
Co2P3S9,0.5451,1.2878251907
CoPS,0.16060000000000002,0.5700256145
CoPS4,0.3241,0.8689846205
CoPS4,0.0,0.2854
Co5P3S3,0.0,0.2854
CoPS,0.0,0.2854
CoPS,1.06,2.3294086
CoPS,0.9637,2.1276107992
CoPS4,0.0,0.2854
CoPS4,0.4939,1.1892822659
CoPS4,0.12840000000000001,0.5122413782
Co2PS,0.0,0.2854
CrPS4,0.8817,1.9583154934
Cr2P4S13,0.8772000000000001,1.9490924322
CrPS3,0.0,0.2854
CrP2S7,0.0,0.2854
Cr2P3S9,0.36360000000000003,0.9426014006000001
CrPS,0.0,0.2854
CrPS4,0.5186000000000001,1.2367079641
CrPS4,0.9500000000000001,2.09916375
Cr5P3S3,0.0,0.2854
CrPS,0.0,0.2854
CrPS,0.7345,1.6602633584
CrPS,0.3991,1.0092252605
CrPS4,0.0,0.2854
CrPS4,0.5053,1.2111447436
CrPS4,0.5363,1.2708233892
Cr2PS,0.0,0.2854
Cs2PS3,0.08320000000000001,0.43173508860000004
Cs2PS3,0.2005,0.6421269434
Cs2PS3,2.914,6.841838806
Cs3PS4,2.2523,5.0944525128
Cs3PS4,2.8263,6.6015108082000005
Cs3PS4,2.2318,5.0427434901
Cs3PS4,2.9058,6.8192548965
Cs3PS4,2.2623,5.1197293437999996
Cs4P2S7,2.5525,5.8683779594
Cs7PS6,2.0752,4.6525488294
CsPS3,1.8077,4.0057115868
CsPS3,1.8143,4.021372179
CsPS3,1.94,4.3225206
Cu2PS3,0.0,0.2854
Cu2PS3,0.0,0.2854
Cu2PS3,1.4235,3.1201255154
Cu2PS3,0.7465,1.6842796004
Cu2PS3,1.2765,2.7948365654
Cu3PS4,1.0783,2.3681203294
Cu3PS4,0.5322,1.2629112717
Cu3PS4,0.9839,2.1696734329
Cu3PS4,0.6622,1.5166229637000002
Cu3PS4,0.6910000000000001,1.5736233535
Cu3PS4,0.8621000000000001,1.9181952871
Cu4P2S7,1.3106,2.8696267945000002
Cu7P3S11,0.8707,1.935782638
Cu7PS6,0.8127000000000001,1.8176673838
Cu7PS6,0.6956,1.582754239
CuPS3,0.5775,1.3506543344
CuPS3,0.3865,0.9855284204
CuPS3,1.1759,2.5765454905
Cu8P2S,0.0,0.2854
Cu8P2S,0.0,0.2854
FePS3,0.0,0.2854
FePS3,0.0,0.2854
FePS3,0.0,0.2854
FePS3,0.22540000000000002,0.6874024553
FePS3,0.0,0.2854
Fe2P3S9,0.0,0.2854
Fe2P2S7,0.15480000000000002,0.5595907074
Fe3P2S8,0.0,0.2854
Fe3P2S8,0.1015,0.4642440404
Fe3P2S8,0.0,0.2854
Fe3P2S8,0.0,0.2854
Fe3P2S8,0.0,0.2854
FeP2S6,0.0,0.2854
FeP2S6,0.0,0.2854
FePS,0.0,0.2854
FePS,0.0,0.2854
Fe4P2S,0.0,0.2854
Fe4P2S,0.0,0.2854
FePS4,0.0,0.2854
Fe2P4S13,0.0,0.2854
FePS3,0.0,0.2854
FeP2S7,0.0,0.2854
Fe2P3S9,0.0,0.2854
FePS,0.5982000000000001,1.3909858821
FePS4,0.0,0.2854
FePS4,0.0945,0.45179519840000004
Fe5P3S3,0.0,0.2854
FePS,0.0,0.2854
FePS,0.0,0.2854
FePS,0.707,1.6054146015000001
FePS4,0.23900000000000002,0.7122220935
FePS4,0.0,0.2854
FePS4,0.0,0.2854
Fe2PS,0.0,0.2854
GaPS4,2.2857,5.179012729
Ga2P4S13,1.8504,4.1072983178
GaPS3,0.0,0.2854
GaP2S7,0.0,0.2854
Ga2P3S9,1.336,2.925597856
GaPS,0.0,0.2854
GaPS4,2.0787,4.6611766852
GaPS4,2.0582,4.6107025661000005
Ga5P3S3,1.2936,2.8322909066
GaPS,0.0,0.2854
GaPS,0.3635,0.9424143454
GaPS,0.1193,0.49597625700000003
GaPS4,2.2713,5.1425081602
GaPS4,1.4955,3.2821864634
GaPS4,2.5314,5.8129597241
Ga2PS,0.0,0.2854
GePS3,1.3479,2.9518975301
GePS3,2.0765,4.6557529654
GePS3,1.1255,2.4685033684
GePS3,2.0462,4.5812244053
GePS3,1.3212000000000002,2.8929575778
Ge2P3S9,0.6126,1.4191303049
Ge2P2S7,0.7889,1.7695371769000001
Ge3P2S8,0.9524,2.1041424694
Ge3P2S8,1.7472,3.8628604902
Ge3P2S8,1.79,3.96378735
Ge3P2S8,1.7873999999999999,3.9576381448999998
Ge3P2S8,0.15410000000000001,0.5583321115000001
GeP2S6,0.788,1.7677209839999999
GeP2S6,0.895,1.9856158375000001
GePS,0.0,0.2854
GePS,0.2285,0.6930542254000001
Ge4P2S,0.0,0.2854
Ge4P2S,0.0,0.2854
GePS,0.0,0.2854
GeP2S6,1.1319,2.4821741453
GeP2S8,0.19540000000000002,0.6328801913000001
GeP2S8,0.848,1.889415744
GeP2S7,1.0723,2.3554151548
GeP4S12,1.0756000000000001,2.362401455
Ge2P3S,0.0,0.2854
K2PS3,0.2615,0.7534249204
K2PS3,0.2776,0.7830156554000001
K2PS3,3.0121,7.1138287421
K2PS3,2.9188,6.8550694818
K3PS4,2.7819000000000003,6.4808572403
K3PS4,2.672,6.185154624
K3PS4,2.5769,5.9326561213
K3PS4,2.8224,6.5908854554000005
K3PS4,2.5774,5.9339754569
K3PS4,2.7414,6.3713981921
K4P2S7,2.6754,6.1942400153
K7P3S11,2.6153,6.0342335946
K7PS6,1.7354,3.8351466433
K7PS6,1.6902,3.7294355229000002
KPS3,1.6454,3.6253594513
KPS3,1.5501,3.4062819767
KPS3,1.8744,4.164673985
HgPS3,1.5666,3.4439869097
HgPS3,1.6971,3.7455269891
HgPS3,0.5787,1.3529883352
HgPS3,1.6945000000000001,3.7394615984
HgPS3,1.7032,3.7597665366
Hg2P3S9,1.5892,3.495784557
Hg2P2S7,1.8571,4.1232955811
Hg3P2S8,1.0855,2.3833830284
Hg3P2S8,1.5047000000000001,3.3030238626
Hg3P2S8,1.5333,3.3679885624
Hg3P2S8,1.5221,3.3425140291
Hg3P2S8,1.1893,2.6054193039999998
HgP2S6,0.0,0.2854
HgP2S6,0.0,0.2854
HgPS,0.0,0.2854
HgPS,0.9581000000000001,2.1159749383
Hg4P2S,0.0,0.2854
Hg4P2S,0.0,0.2854
InPS4,1.9546999999999999,4.3580965176
In2P4S13,1.9472,4.3399361702
InPS3,0.0,0.2854
InP2S7,0.0,0.2854
In2P3S9,1.4675,3.2189490094
InPS,0.39330000000000004,0.9983103484
InPS4,1.6951,3.7408610957
InPS4,1.2845,2.8123464334
In5P3S3,0.5731,1.3421006063
InPS,0.0,0.2854
InPS,0.5003000000000001,1.2015503856
InPS,0.4909,1.1835364775000001
InPS4,2.1310000000000002,4.7906078335
InPS4,1.3605,2.9797978034
InPS4,1.0806,2.3729939585
In2PS,0.0,0.2854
IrPS4,1.5476,3.4005773494
Ir2P4S13,1.2704,2.7815002138000002
IrPS3,0.0,0.2854
IrP2S7,0.0,0.2854
Ir2P3S9,1.1841,2.5942071425
IrPS,1.3649,2.9895537337
IrPS4,1.1339000000000001,2.4864491779
IrPS4,1.4873,3.2636387538
Ir5P3S3,0.0,0.2854
IrPS,0.0,0.2854
IrPS,1.6599,3.6589685597
IrPS,1.5693000000000001,3.450165802
IrPS4,0.0,0.2854
IrPS4,1.3559,2.9696056045
IrPS4,0.7848,1.7612656854000002
Ir2PS,0.0,0.2854
IrPS,0.0,0.2854
IrP2S6,0.0,0.2854
IrP2S7,0.0,0.2854
IrP4S12,0.0,0.2854
Ir2P3S,0.0,0.2854
IrPS,1.366,2.991993766
IrPS,0.0,0.2854
IrP2S8,0.1905,0.6240045584
IrP2S8,0.7114,1.6141727681
Ir2PS10,0.8717,1.9378293443999999
