formula,bg,formation_energy,mp-id,fidelity,bg_category
YNiF5,2.2381,-3.307505016428571,mp-1445738,1,3.0
K2MnP2H2(O4F)2,1.4885000000000002,-2.321173446718632,mp-1199919,1,2.0
Li6V2O5F2,1.8051,-2.491786425333333,mp-764951,1,2.0
MnCr(PO4)2,0.8088999999999991,-2.496907458934727,mp-775016,1,1.0
BaMn3O6,0.0,-2.196269830379312,mp-30153,1,0.0
Mn3CrTe2(PO4)6,0.0,-2.310754350971767,mp-766852,1,0.0
PrEuMnSbO6,0.0,-2.62261041845977,mp-1517197,1,0.0
Ba5MgMnV4(Cl3O7)2,2.6163,-2.778008514933259,mp-1214612,1,3.0
Ba6Y2Co4O15,1.209299999999999,-2.585296590185184,mp-1196872,1,1.0
Mg3Mn2(Si2O7)2,2.137099999999999,-2.902386055689655,mp-1250887,1,3.0
Fe3H10S2NO14,1.9047,-1.458063358416666,mp-40778,1,2.0
LiSiNiO4,0.273099999999999,-2.235122678333333,mp-761324,1,0.0
Sr4FeRuO8,0.0,-2.557285502142856,mp-1218399,1,0.0
MgFe2(CoO4)2,0.919,-1.485418495,mp-2219106,1,1.0
MgTiV3O8,1.0069,-2.742998146794872,mp-2219007,1,1.0
LiSc4(FeO3)4,1.3091,-2.678944788253968,mp-1236487,1,1.0
CoSb3XeF23,0.9364999999999992,-2.106697256339285,mp-1195576,1,1.0
FeH8N2F5,1.3954,-0.482072632656249,mp-1181422,1,2.0
MnNiO3,0.0,-1.619272340586208,mp-19331,1,0.0
Li2Si2Ni2O7,3.2881,-2.397919928397435,mp-766586,1,4.0
Fe2WC10(SeO5)2,1.955,-0.6185608559875001,mp-557864,1,2.0
MnTeC5O6F5,2.1624,-1.399438789005428,mp-650943,1,3.0
Fe32O35,0.507899999999999,-1.475207054701491,mp-863766,1,0.0
K2W4O13,1.9062,-2.251699962605264,mp-757860,1,2.0
Mn7Sb(PO4)12,0.0,-2.222973114429876,mp-776832,1,0.0
CaFeSbAs2O7,1.523699999999999,-1.871780772499999,mp-557398,1,2.0
Ba2Mn4Tl2Zn3O12,0.0,-1.7167225103648172,mp-1048574,1,0.0
Fe2H11(SeO5)3,0.123699999999999,-1.167122540912298,mp-765464,1,0.0
Na2V2(PO4)3,0.9548999999999992,-2.640946125088799,mp-760126,1,1.0
HoMoO5,0.0,-2.530902193928571,mp-1212177,1,0.0
