formula,bg,formation_energy,mp-id,fidelity,bg_category
Li12Al3Si4,0.0,-0.132159855789473,mp-14378,0,0.0
Y(MnCo)6,0.0,0.011640378647213,mp-1216254,0,0.0
Si2Ni7P5,0.0,-0.441644716498534,mp-582159,0,0.0
K2CdO2,1.3562,-1.406970080899999,mp-27742,0,2.0
Ti8Cr3(B4Ru9)2,0.0,-0.561889757184684,mp-1217552,0,0.0
KSnSe2,0.0,-0.910887335484374,mp-571016,0,0.0
Pr3AlNiS7,0.0,-1.842084883124998,mp-1191447,0,0.0
La2Al3Ge,0.0,-0.650073346666668,mp-1223244,0,0.0
HfMg14Co,0.0,0.1138859468749999,mp-1028390,0,0.0
MgSi7Ir3,0.0,-0.472048547272725,mp-13241,0,0.0
Pr3SiSe2N3,2.09,-1.7867974277430552,mp-568883,0,3.0
KAu(CN)2,2.9528,-0.149170987361104,mp-672348,0,4.0
CdHg4C6S6(Br2N3)2,1.9085,-0.185136490925925,mp-557580,0,3.0
Zr(AlFe)6,0.0,-0.40122693153846,mp-1215723,0,0.0
TbGa3(BO3)4,4.7172,-2.785179550291666,mp-1208326,0,7.0
Na6Al4In4Si3(S3O16)3,0.382899999999999,-2.30167386728526,mp-2713774,0,0.0
BeGeAs2,0.6522999999999991,-0.1688719675,mp-1009088,0,1.0
TmCdAu,0.0,-0.623908175555555,mp-1205911,0,0.0
Er2Nb3Ge4,0.0,-0.7394910477777771,mp-1202972,0,0.0
Cs2BaP2O7,4.8119,-2.8856225659246713,mp-1019603,0,7.0
BaSm2ZnO5,3.440299999999999,-3.187293293888888,mp-6452,0,5.0
La(AlZn)2,0.0,-0.5104191409999991,mp-569713,0,0.0
KNb3CuO9,0.4316,-2.656935491053571,mp-1211979,0,0.0
BaTi(PO4)2,2.592399999999999,-3.190398111051586,mp-1214296,0,4.0
Cs2PO3F,4.402,-2.75026178877903,mp-6557,0,7.0
Nd2C3,0.0,-0.317560050999998,mp-1800,0,0.0
Pu2HgGe,0.0,-0.467982233749999,mp-1186804,0,0.0
Y2Re2Si2C,0.0,-0.5902742328571431,mp-1025205,0,0.0
Rb2CeN5O19,0.0,-1.009410253703703,mp-1204560,0,0.0
