formula,bg,formation_energy,mp-id,fidelity,bg_category
Y4Tl5,0.0,-0.0529975,,2,3.0
Al5Tc,0.0,-0.0126527999999999,,2,3.0
Mg2FeRu,0.0,-0.0157074,,2,3.0
Cl4Br2RhCs2,0.0,-0.0213597999999999,,2,3.0
LiTcDy2,0.0,-0.0333267,,2,3.0
ScLaPb2,0.0,-0.0529159,,2,3.0
Al2Sc2Cu,0.0,-0.0122453,,2,3.0
CaPd2Pm,0.0,-0.0305994,,2,3.0
NaInTl2,0.0,-0.0457145999999999,,2,3.0
Ga2NdPm,0.0,-0.0307229,,2,3.0
Na2KCd,0.0,-0.011811,,2,3.0
RhCeTl5,0.0,-0.0631321,,2,3.0
CSc2Pb,0.0,-0.0293564,,2,3.0
H8FeZn2Th,0.0,-0.0141559,,2,3.0
CuGeU,0.0,-0.0460743999999999,,2,3.0
BrSr2In2,0.0,-0.0272159,,2,3.0
F6SmPa,0.0,-0.0244419,,2,3.0
AsTe3Pr4,0.0,-0.0397934,,2,3.0
NiSr2Pt2,0.0,-0.0409405,,2,3.0
F6EuAu,0.0,-0.0203171,,2,3.0
CClSm2,0.0,-0.028016,,2,3.0
KHg2Bi2,0.0,-0.0605681,,2,3.0
LiTe2Np,0.0,-0.0467203999999999,,2,3.0
Rb2SrSb2Hg,0.0233,-0.0350684,,2,3.0
ZnAgAu,0.0,-0.0381561,,2,3.0
NaSi2Au2,0.0,-0.0327753999999999,,2,3.0
PFeZr,0.0,-0.020772,,2,3.0
OTi3In,0.0,-0.0188399,,2,3.0
P2NiEr2,0.0,-0.0290304,,2,3.0
O6VCsW,1.7798,-0.0204519,,2,3.0
MnNiZn,0.0,-0.0162526,,2,3.0
LiAs2ErIr2,0.0,-0.0400377,,2,3.0
H8Mg2CrHo,0.0,-0.0090666,,2,3.0
Na3Ag,0.0,-0.0109762,,2,3.0
O6KIBa2,2.9862,-0.0181018,,2,3.0
Cr2Te3,0.0,-0.03018,,2,3.0
In3La3Pt2,0.0,-0.0472528999999999,,2,3.0
MgSb2Pb,0.0321,-0.0388992,,2,3.0
H7O3Br,4.0192,-0.0066056,,2,3.0
CuLu2Os,0.0,-0.0499467,,2,3.0
Ti3Hg,0.0,-0.0293382,,2,3.0
RuSn2Th6,0.0,-0.0762753,,2,3.0
FeTa,0.0,-0.0425090999999999,,2,3.0
Li2Cu3Ga,0.0,-0.0113225,,2,3.0
P2Pd2U,0.0,-0.0385687,,2,3.0
MgIn3Ba,0.0,-0.0294536,,2,3.0
Na2K2Cs,0.0,-0.0124985,,2,3.0
As2RuNp,0.0,-0.0459861,,2,3.0
Si2AgTh,0.0,-0.0372590999999999,,2,3.0
OZnTm3,0.0,-0.0365297,,2,3.0
B6Mn2Fe,0.0,-0.0112745,,2,3.0
Si4Sc3Rh4,0.0,-0.0209453,,2,3.0
C6N6MnFeCs2,0.0,-0.0145326,,2,3.0
O4BrSb2Tm,0.5768,-0.0235125,,2,3.0
MnZn2Er3,0.0,-0.0330423,,2,3.0
SCo,0.0,-0.0138147,,2,3.0
ClBa2Bi,0.5948,-0.0431027,,2,3.0
LiBaPt,0.0,-0.0379807,,2,3.0
BCo3In,0.0,-0.018503,,2,3.0
H2O5PKNi,0.9629,-0.0091893,,2,3.0
Na2Ge2Pt,0.0,-0.0238222999999999,,2,3.0
PTiMo,0.0,-0.0214222,,2,3.0
Li2AlZn,0.0,-0.0067615,,2,3.0
GaOs2U2,0.0,-0.0737232999999999,,2,3.0
BNCoTb,0.0,-0.0213806,,2,3.0
CuZnTh,0.0,-0.0418087,,2,3.0
InHoAu,0.0,-0.0514157,,2,3.0
As2RhU2,0.0,-0.0568447,,2,3.0
LiO3F5Ni5,0.1163,-0.0104392999999999,,2,3.0
Sr3Ag,0.0,-0.0246765,,2,3.0
NNiHf3,0.0,-0.0438314,,2,3.0
KCaPb4,0.0,-0.0538678,,2,3.0
TcRuRh2,0.0,-0.0343844,,2,3.0
Al3Ge2IrPu3,0.0,-0.0520011,,2,3.0
LiBa2Au2,0.0,-0.0446505,,2,3.0
O14Nd2Bi7,0.0,-0.0331271,,2,3.0
H3MgK,2.3714,-0.0051040999999999,,2,3.0
Y2Rh2Pb,0.0,-0.0406525,,2,3.0
B3N6NaBa4,1.986,-0.0183642,,2,3.0
F6NbAu,1.5241,-0.0178175,,2,3.0
Ba2In2S5,1.867899999999999,-1.582398072175922,mp-22841,2,3.0
Cu4ErPb,0.0,-0.0313113,,2,3.0
F6CaIr,0.0,-0.0153232,,2,3.0
O6Ba2TaNp,0.0,-0.0321501,,2,3.0
F8Na2CaTh,6.9397,-0.0157352,,2,3.0
O4NbCe,0.0,-0.0203888,,2,3.0
CTi2Cd,0.0,-0.0187802,,2,3.0
Al8Cr4La,0.0,-0.0139615,,2,3.0
CGe2Mo2Dy2,0.0,-0.031156,,2,3.0
LiLa2Tl,0.0,-0.0406124999999999,,2,3.0
MgCd2Er,0.0,-0.0294408,,2,3.0
LiBrSb2,0.8411,-0.024832,,2,3.0
ScRu2Hf,0.0,-0.0375049,,2,3.0
CaSe2Hg,1.326,-0.0306517,,2,3.0
CSi2Cr2Er,0.0,-0.0200341,,2,3.0
PdTmPt2,0.0,-0.0574004,,2,3.0
ZnLaTl2,0.0,-0.0506845,,2,3.0
Si3FeY,0.0,-0.0157355,,2,3.0
O6Pd3Cd,0.0,-0.0174196,,2,3.0
Zn2PrAc,0.0,-0.0405148,,2,3.0
LiLa2Tl2,0.0,-0.0471882999999999,,2,3.0
CuY2Cd,0.0,-0.0256693,,2,3.0
Cl6CuRb2Er,2.5102,-0.0174925,,2,3.0
BCCuTh,0.0,-0.0325163,,2,3.0
Al3PdBa,0.0,-0.0196416,,2,3.0
MoRuPt2,0.0,-0.0527653,,2,3.0
NaP2Mn2,0.0,-0.0128791,,2,3.0
Tm2Os,0.0,-0.0589907,,2,3.0
TcIrPu2,0.0,-0.0816538999999999,,2,3.0
InGd3,0.0,-0.0528757,,2,3.0
PtAu5,0.0,-0.0692852,,2,3.0
KNiSn2,0.0,-0.0242977999999999,,2,3.0
Co2Y2Hg,0.0,-0.0319541,,2,3.0
Ni8Cd,0.0,-0.0176524,,2,3.0
Ni2Ge2Hf,0.0,-0.0272006,,2,3.0
O3FeRb3,0.2818,-0.0157363,,2,3.0
ZrCd2Pb,0.0,-0.0420226,,2,3.0
Co2Ga3Dy3,0.0,-0.0288935,,2,3.0
Al2BrLa2,0.0,-0.0252519,,2,3.0
Si4Zn4Sm3,0.0,-0.0212939,,2,3.0
NiHf,0.0,-0.0399983999999999,,2,3.0
Zn3Rh2Pr,0.0,-0.0258049999999999,,2,3.0
AlSiNi2,0.0,-0.0131842,,2,3.0
F3KZn,3.6314,-0.0092664,,2,3.0
Dy3Pb2,0.0,-0.0596791,,2,3.0
Cl6Rb2AgPr,3.2736,-0.0184044999999999,,2,3.0
MgPmPt2,0.0,-0.0483884,,2,3.0
MgScRh4,0.0,-0.0262988,,2,3.0
LiO6Cr2Co,0.0,-0.0113659,,2,3.0
KCs2Bi,0.04,-0.0410838,,2,3.0
Be4NbMo,0.0,-0.0145044,,2,3.0
N3CoY,0.1595,-0.0152396999999999,,2,3.0
GaRh2Nd2,0.0,-0.0350955,,2,3.0
B2O6InBa,0.0,-0.0149194999999999,,2,3.0
O6Sr3Nb,0.0,-0.0165914,,2,3.0
LiSrSn,0.0,-0.0207939,,2,3.0
Si2PdPr,0.0,-0.0249491,,2,3.0
Si2CuNb,0.0,-0.0175397,,2,3.0
Li8K,0.0,-0.0029706999999999,,2,3.0
O5Cu2BaHo,0.0,-0.0188036,,2,3.0
MgZnLu,0.0,-0.0249227,,2,3.0
MgCuTb,0.0,-0.0225546,,2,3.0
HLiO3PTl,4.0048,-0.017157,,2,3.0
Li2Ga2Cd,0.0,-0.0138266,,2,3.0
Mg2GaRh,0.0,-0.0155953999999999,,2,3.0
Al5Pd2Ho,0.0,-0.0199525,,2,3.0
CaZnGa3,0.0,-0.0149059,,2,3.0
Cl3KTl,0.6773,-0.0222627,,2,3.0
Cl3MnTl,0.6503,-0.024301,,2,3.0
NaGaTl2,0.0,-0.0413744999999999,,2,3.0
AlP2Sb,0.0,-0.0165503,,2,3.0
Al2CoTb,0.0,-0.0204043,,2,3.0
O3Na2Pd,1.0543,-0.0112836999999999,,2,3.0
O6CaRhBa2,0.0,-0.0182658,,2,3.0
O12Mg3Si4,0.0156,-0.0096274,,2,3.0
CCaRh3,0.0,-0.0244993,,2,3.0
Be3Cu4,0.0,-0.0106691,,2,3.0
GaInHg2,0.0,-0.0464392,,2,3.0
MgAlNd,0.0,-0.0191176,,2,3.0
CoRu2Ho3,0.0,-0.0393949,,2,3.0
NiNb6Sn2,0.0,-0.0320422,,2,3.0
C2Tm3Pb,0.0,-0.0424852,,2,3.0
O2SrAg,0.0,-0.0182205,,2,3.0
H2NiMo,0.0,-0.0143794,,2,3.0
F6CeLu,0.0,-0.0193875,,2,3.0
F6NaMnTl2,0.0,-0.0213445,,2,3.0
Co2SnTm,0.0,-0.0309015,,2,3.0
NaCl6Cs2Ce,0.0,-0.0195666,,2,3.0
FeSe2Tm6,0.0,-0.0417763,,2,3.0
F6MnTl,0.0,-0.0162914,,2,3.0
Mg2Rh2In,0.0,-0.0226864,,2,3.0
