formula,bg,formation_energy,mp-id,fidelity,bg_category
O8Mo2CsEr,4.4584,-0.0199616,,3,3.0
LiGeCd,0.0,-0.0175285,,3,3.0
K3Au,0.0,-0.0237579999999999,,3,3.0
PSCo,0.7866,-0.0130742999999999,,3,3.0
PRhLu,0.0,-0.0345783,,3,3.0
O6MgSnLu2,4.4195,-0.0219779,,3,3.0
Ti2CrIr,0.0,-0.0311281,,3,3.0
Si2CdLu2,0.0,-0.0328928999999999,,3,3.0
Cu4Se3Tl,0.0,-0.0243712,,3,3.0
Nd2HgPb,0.0,-0.0585124,,3,3.0
PdSb2Ho6,0.0,-0.0453859,,3,3.0
O4Ca3Cu2I2,0.0,-0.0162984,,3,3.0
SeSbI,1.1041,-0.0316522,,3,3.0
O6MgSr2Sb,0.0,-0.0149201,,3,3.0
HO3RbTe,3.6073,-0.0147371999999999,,3,3.0
NaCl6K2Sc,4.4652,-0.0105478,,3,3.0
Si2Cd2Ba,0.0,-0.0243465,,3,3.0
NiGeLa,0.0,-0.0269134,,3,3.0
LiPS2,1.2466,-0.0087264,,3,3.0
In2LaSm,0.0,-0.0392405,,3,3.0
LiBr6InCs2,2.1575,-0.0243746,,3,3.0
P2KCu2,0.0,-0.0121694,,3,3.0
Ni5Ir4,0.0,-0.0405385,,3,3.0
FeIDy,0.0,-0.0349179,,3,3.0
MgSe2AgCs,2.6362,-0.0239743,,3,3.0
TcRePt2,0.0,-0.0618072,,3,3.0
Al5Rh2Ce,0.0,-0.0197456999999999,,3,3.0
GeRu3Pa2,0.0,-0.0544363,,3,3.0
CuRhEu2,0.0,-0.0393403,,3,3.0
DyIr3,0.0,-0.0659935,,3,3.0
CLu3Tl,0.0,-0.0504255,,3,3.0
CIPu,0.0,-0.0527942,,3,3.0
YCdPb2,0.0,-0.0529215,,3,3.0
HNi3Pd,0.0,-0.0169087,,3,3.0
O6Na2TeNd,0.0,-0.0146196,,3,3.0
AlScGa,0.0,-0.0133972,,3,3.0
Ni2Ta2Ir,0.0,-0.0478278,,3,3.0
Sc3Ga2,0.0,-0.0157081,,3,3.0
Li2SrSn2,0.0,-0.0203113,,3,3.0
GaPt2Np,0.0,-0.0666229,,3,3.0
PdSb2Ba6,0.0,-0.0390192,,3,3.0
NiMo2Re,0.0,-0.0392178,,3,3.0
Tc3Ta5,0.0,-0.0552044,,3,3.0
Co2CeDy,0.0,-0.0318031,,3,3.0
O5FKNb4,0.0,-0.0184209,,3,3.0
H6O6Na2Hf,5.1941,-0.0104061,,3,3.0
AsHf2,0.0,-0.0493609999999999,,3,3.0
LiCl6MoCs2,2.2346,-0.0178748,,3,3.0
Mg2CuPt,0.0,-0.0244653999999999,,3,3.0
O2ILa,1.3667,-0.0254451,,3,3.0
F7Fe2Cs3,0.6366,-0.0172061999999999,,3,3.0
MgRuLu,0.0,-0.0320335,,3,3.0
CaCd4Hg,0.0,-0.0334236,,3,3.0
LiMg2Cd,0.0,-0.0109339,,3,3.0
O4NbDy,3.8484,-0.0210351,,3,3.0
H3Pa,0.0,-0.0278449999999999,,3,3.0
K3Pt3Bi2,0.0,-0.0494118,,3,3.0
GaRuHf,0.0,-0.0386717,,3,3.0
BMgSe2,0.0,-0.0133057,,3,3.0
CuITb,0.0,-0.033765,,3,3.0
Al3Si2NiEr3,0.0,-0.0241689,,3,3.0
Li2O10Ti2V3,0.235,-0.0117212999999999,,3,3.0
NdPtPb,0.0,-0.0642355,,3,3.0
LiO2Mo,0.0,-0.0144324,,3,3.0
MoTe6W2,0.9542,-0.0442967,,3,3.0
F4FePb,0.9638,-0.0203798,,3,3.0
O3K2Fe,1.0504,-0.0105977,,3,3.0
MgYHg2,0.0,-0.0429648,,3,3.0
O8RbMo2Hf,0.0,-0.0194473999999999,,3,3.0
NaBr6Rb2Ce,0.0,-0.0226446,,3,3.0
In3Pr3Pt2,0.0,-0.0472939,,3,3.0
CdNdBi2,0.0,-0.0582969,,3,3.0
Mg2PRu2,0.0,-0.0185112,,3,3.0
BeCaTe2,1.3461,-0.0230319,,3,3.0
O10CePr4,0.0,-0.0216863,,3,3.0
Al4CoTm,0.0,-0.0172137,,3,3.0
AlCu2Th2,0.0,-0.0462681,,3,3.0
CdPtPb2,0.0,-0.0631592,,3,3.0
O8Na3V2Gd,3.7103,-0.0138237,,3,3.0
RbTe2Lu,1.5583,-0.0391368,,3,3.0
SiScPd,0.0,-0.0200705999999999,,3,3.0
Cu3Pd2Sm,0.0,-0.0263977,,3,3.0
Mg4Ca5,0.0,-0.0075821,,3,3.0
YPdI,0.5283,-0.0336417,,3,3.0
H3PdEr,0.0,-0.0193115999999999,,3,3.0
ZnSb2Eu2,0.0,-0.0399107,,3,3.0
Cu4CdSm,0.0,-0.0228536,,3,3.0
Br6MoCs2,0.0,-0.0265705,,3,3.0
CZnZr2,0.0,-0.0218417999999999,,3,3.0
SiGaSe3,1.1921,-0.0177897999999999,,3,3.0
Cu4Rh,0.0,-0.0188829,,3,3.0
In5SmPt,0.0,-0.0408071,,3,3.0
F6CuRb2,0.0,-0.0108303,,3,3.0
AlZnTh2,0.0,-0.0534131,,3,3.0
