Subsampling_GGA,MAE_Fidelity_GGA,MAE_Fidelity_GLLBSC,MAE_Fidelity_HSE,MAE_Fidelity_EXPT
0.1,0.6991526110709858,1.6800681955262184,0.9075877496588262,0.6015475326133336
0.2,0.6352124725334619,1.8825759333551493,0.9946070121897611,0.5954724532684686
0.30000000000000004,0.5469323927595184,1.8887611839304965,1.048889812365011,0.5276398529846269
0.4,0.5426785060090722,2.1385003988175484,1.2331856724254047,0.6129864390301321
0.5,0.48038018507103764,2.035754018542337,1.1761019133677397,0.5307548718079266
0.6,0.5088513884615365,2.001123135343515,1.1614167676839868,0.5667659308402662
0.7000000000000001,0.46331531241856366,2.046839317922572,1.2341140412032343,0.5641541199401212
0.8,0.42218164696616706,2.0829739486937564,1.2205351973346241,0.5307554402635155
0.9,0.3961175658108846,2.1864504133345193,1.3192163934076724,0.5263018064736686
1.0,0.4472681070508899,2.0829457820874624,1.2278034629814212,0.5390815054640526
