formula,bg_1,fidelity_id_1,bg_2,fidelity_id_2
MnSe3DyPb,0.0,2,0.0,3
Cu4InHg,0.0,2,0.0,3
Co4Sn6Er,0.0,2,0.0,3
N2MgPa,0.0,2,0.0,3
LiAs2Pd2Hf,0.0,2,0.0,3
S3Cs2Ho,0.0,2,0.0,3
B2N3Fe2Sm3,0.0,2,0.0,3
Al4CoBa,0.0,2,0.0,3
S2CuGd,0.949,2,1.1045,3
CoPdLu2,0.0,2,0.0,3
Ni2Mn2O6,1.694365,0,2.599927,5
Sc3Nd,0.0,2,0.0,3
Na2Pb,0.0,2,0.0,3
Be4MnPt,0.0,2,0.0,3
Al5Si,0.0,2,0.0,3
NaSi2Pd3,0.0,3,0.0,6
AsSe2Cs,1.4925,2,1.687,3
Mg2CuIr,0.0601,0,0.0,3
K2Br6Ru,0.0,2,0.0,3
Se3Te3Bi4,0.1051,2,0.1182,3
O11Cl2Sb8,2.1277,2,2.4319,3
Sb2LaPt,0.0,2,0.0,3
Co2Ga3Ho3,0.0,2,0.0,3
LiAs2TmPt2,0.0,2,0.0,3
Sc2Cd,0.0,2,0.0,3
MgYCd2,0.0,2,0.0,3
CuPd,0.0,2,0.0,3
Rh2OsPt,0.0,2,0.0,3
Ru2Sm3Pt,0.0,2,0.0,3
H4LiO5SeCs,4.4882,2,4.8856,3
O4NpPu,0.0,2,0.0,3
SeOF2,4.083299999999999,0,4.88146,4
LiSc2In,0.0,2,0.0,3
GaGeRb,0.0,2,0.0,3
ZnLaAu,0.0,2,0.0,3
NaSe2Ta,0.463,2,0.6992,3
CrPt8,0.0,2,0.0,3
Cd4Mn4F20,1.619958,0,3.142891,5
F6CeLu,0.0,2,0.0,3
FeCo4Pr,0.0,2,0.0,3
Al2LuAu,0.0,2,0.0,3
Zn2PdHo,0.0,2,0.0,3
B4Fe5Dy2,0.0,2,0.0,3
O4SeTbBi2,0.0,2,0.0,3
DyHoTl2,0.0,0,0.0,2
Sr3Sb2,0.0,0,0.6705,3
KRh2Pb2,0.0,2,0.0,3
Be2Tc2Ta,0.0,2,0.0,3
LiNRu,0.0,2,0.0,3
Hf6PbO18,0.0,0,0.0,6
Si2Mn2Eu,0.0,2,0.0,3
ScHgPb,0.0,2,0.0,3
In2TbLu,0.0,2,0.0,3
F6RbIr,0.0,2,0.4119,3
C5Y3,0.0,2,0.0,3
Li3O5CuSb,0.7183,2,1.6723,3
Ca2ZnHg,0.0,0,0.0,3
MnZr2,0.0,2,0.0,3
WBi2Th6,0.0,2,0.0,3
Ag3Pd,0.0,0,0.0,6
Sc3Pd2In3,0.0,2,0.0,3
In5PrIr2,0.0,2,0.0,3
BeSiHf,0.0,2,0.0,3
P3Ag2,0.1272,2,0.4362,3
Ti2FeIr,0.0,0,0.0,3
K2As2CdBa,0.1222,2,0.4515,3
MgAsPb,0.0,2,0.0,3
Be,0.0,0,0.0,2
O24,1.171963,0,3.055153,5
Rh2InTl,0.0,2,0.0,3
H3SiK,2.1052,2,2.373,3
Cu2Te3Pb,0.0,2,0.0,3
Mg2InBa,0.0,2,0.0,3
Ni2Zn2Sr3Sb4,0.0,2,0.0,3
NbHf2Pt,0.0,2,0.0,3
Ga2Pd2Lu,0.0,2,0.0,3
Na2SiCd,0.0,2,0.0,3
As16S16,1.596751,0,2.404459,5
OZnAsPr,0.6862,2,0.9714,3
Cl3VTl,0.0,2,0.3886,3
F6RuSm,0.0,2,0.7396,3
Pd2PrIr3,0.0,2,0.0,3
BGaRh3,0.0,2,0.0,3
N2BiTh2,0.0,2,0.0,3
MnNi4Er,0.0,2,0.0,3
Rh2LuTl,0.0,2,0.0,3
Al2S4Ba,3.7782,2,4.179,3
Al2SiZr,0.0,2,0.0,3
Tl2CO3,2.9095,0,3.83337,4
P2Cu2CsDy,0.0,2,0.0,3
B2Mg2SiIr5,0.0,2,0.0,3
MgTlPu,0.0,2,0.0,3
NiIr3,0.0,2,0.0,3
Cu2RuRh,0.0,2,0.0,3
LaTlPb,0.0,2,0.0,3
RbRu2Sb2,0.0,2,0.0,3
O4KOs,0.0,2,0.0444,3
Te36Na12,0.419473,0,0.892253,5
NbIr,0.0,0,0.0,3
Ag3In,0.0,2,0.0,3
B4ScTm,0.0,2,0.0,3
Li4V2Si2O10,2.094396,0,3.590594,5
Mg2As2Ba,0.9966,2,1.4062,3
O6Sr2RhDy,0.0,2,0.0,3
H2C,6.4785,0,6.8312,3
Mg6Sn3Pr2,0.0,2,0.0,3
O6Sr2CePt,1.4483,2,1.8287,3
CrNiRu2,0.0,2,0.0,3
Rh2CdHo3,0.0,2,0.0,3
AlAs,1.78103,4,0.0,6
Th3B2C3,0.0,0,0.0,6
F8Er2Pb,5.7221,2,6.2984,3
Al3Cu2Ru,0.0,2,0.0,3
Ge2RuDy,0.0,2,0.0,3
O4AsBi,2.8257,2,3.2332,3
Rb3CsTl,0.0,2,0.0,3
N2SZr2,0.5396,2,0.9038,3
FSeAgBa,1.2353,2,1.7631,3
TlCr5S8,0.149499999999999,0,1.01,6
Sc2Cu2Sn,0.0,2,0.0,3
TiCrMn2,0.0,2,0.0,3
Na2RbTl,0.0,2,0.0,3
ScAuPb2,0.0,2,0.0,3
SPb,0.1546,2,0.5161,3
Be4SiRe,0.0,2,0.0,3
Co3P2O16H16,1.347126,0,2.690477,5
Li3O5SiNi,0.2118,2,0.6835,3
Al5Ba,0.0,2,0.0,3
LiI2Hg2,0.0,2,0.0,3
CdLu2Tl,0.0,2,0.0,3
TcOsPt2,0.0,2,0.0,3
V2O4,0.7735449999999999,0,1.510221,5
CdSnPt,0.0,2,0.0,3
Al3Ge2PdEu3,0.0,2,0.0,3
S2KCuCd,1.9859,2,2.4591,3
O8CaV2Th,2.9888,2,3.3806,3
Cu4Ge2Zr3,0.0,2,0.0,3
SiZrAu2,0.0,2,0.0,3
MgRhIn,0.0,2,0.0,3
IU,0.0,2,0.0,3
CsAu,0.7552,2,2.3,6
Rh2S3,0.14281,4,0.8,6
SnHo2Au2,0.0,2,0.0,3
Ba4As4Zn2,0.6005439999999991,0,1.148498,5
OGaTb3,0.0,2,0.0,3
Si2Pd2Er,0.0,2,0.0,3
Hg1Te4Sn1Rb2,0.639806,0,1.316132,5
PPt5Pb,0.0,2,0.0,3
ONa2As2Zr2,0.0,2,0.0,3
Mg3Ag,0.0,0,0.0,3
K16Zn4O12,2.010752,0,3.150447,5
CaSe3PrAu,0.8882,2,1.2146,3
Mg2TlTh2,0.0,2,0.0,3
Li2CuSn,0.0,0,0.0,2
La3Mo4O16F,3.6136,1,3.7,6
P3K4,0.0,2,0.0,3
O6Cu2SrLa2,0.0,2,0.0,3
Al2MnTm6,0.0,2,0.0,3
AgTlPb2,0.0,2,0.0,3
Pd2PtPb,0.0,2,0.0,3
MgCa2Ni2,0.0,2,0.0,3
Ag5Au,0.0,2,0.0,3
Ba2Zn3As2O2,0.456402,0,1.123888,5
S2CaMn,0.0,2,0.864,3
Cl6K2GaIn,1.2069,2,1.6042,3
CuY2Ru2,0.0,2,0.0,3
Ru2Tm2Pb,0.0,2,0.0,3
Na1Cu1O1,0.0,0,0.071924,5
O4SrI3Bi3,0.0,2,0.1626,3
O7P2CaCo,0.2879,2,1.9212,3
Mg2Ge2Pu,0.0,2,0.0,3
N2CeEu,0.0,2,0.0,3
Na2Be2As2,1.289079,0,1.99477,5
GeBr3In,0.5574,2,0.7141,3
Si3Pt2,0.0,0,0.0,2
F4NaCe,0.0,2,0.6163,3
Sn2EuEr,0.0,2,0.0,3
CoAs2Ce2,0.0,2,0.0,3
O8P2Ag3,0.0,2,0.0,3
Ni2PdEr3,0.0,2,0.0,3
H16B4Hf,5.3256,2,5.8059,3
HMg3Pt,0.0,2,0.0,3
Be5Y,0.0,2,0.0,3
ScAsO4,3.5491,0,4.6319799999999995,4
KAgTe2,0.1869,2,0.3283,3
Al2TcIr,0.0,2,0.0,3
Al5SnNd5,0.0,2,0.0,3
InPrAu,0.0,2,0.0,3
Ti3Os,0.0,2,0.0,3
NaCl6Rb2Tb,4.9889,2,5.7422,3
Fe3S4,0.0,0,0.969277,5
HLiO10P3V,0.0,2,0.9439,3
O6RhCdBa2,0.0206,2,0.3075,3
LiPdPb2,0.0,0,0.0,3
CeAsPd,0.0,0,0.0,6
FIPb,1.8035,2,2.1598,3
Cs2VAgS4,1.3867,0,1.80161,4
Si3NiDy2,0.0,2,0.0,3
Zn3Mo,0.0,2,0.0,3
ScGeLa,0.0,2,0.0,3
Ge4Pd3,0.0,2,0.0,3
O4AlV2,0.0,2,0.0,3
Pb6V4O16,2.941221,0,3.802091,5
Si2MnLa,0.0,2,0.0,3
KHg,0.0,2,0.0,6
Si3FeY,0.0,2,0.0,3
Na5ClBr4,4.181,2,5.0555,3
Ti2NiSe4,0.0,2,0.0,6
Cs2Sb2Cl12,1.951332,0,3.226309,5
Zn2ErTm,0.0,2,0.0,3
SiCo2Ir,0.0,2,0.0,3
Te3Ac,0.0,2,0.0,3
GeCeTb,0.0,2,0.0,3
Te4Tm5,0.0,2,0.0,3
Al2Te5,1.046099999999999,0,1.0437,3
Pm3Er,0.0,0,0.0,3
F7Ba2La,5.5961,2,6.4702,3
Rh2DyPb,0.0,2,0.0,3
Au8Se8Br8,0.5609919999999999,0,0.949673,5
Pb6Al2F18O2H4,4.671893,0,6.092047,5
H4NSe4RhW,0.0,2,0.0,3
Ag2DyTm,0.0,2,0.0,3
Nb4Rb12S16,2.448348,0,3.409682,5
CdReIr2,0.0,2,0.0,3
ZnNdAu2,0.0,2,0.0,3
PdIn6Bi2,0.0,2,0.0,3
HoLuTl2,0.0,0,0.0,3
TcPr3,0.0,2,0.0,3
Mg2AsRh2,0.0,2,0.0,3
SrAgTe3Ho,0.6185,2,0.9273,3
Mg2ZnPr,0.0,2,0.0,3
CdCsHg3,0.0,2,0.0,3
O2Na2CoRb,0.6297,2,1.7684,3
O3ScAs,3.9463,2,4.3949,3
Sr2Pd1O3,0.291001,0,1.98848,5
Li2Si4N6,5.156664,0,6.509345,5
Rb4Cd10As8,0.0,0,0.1972,5
Sc3FePt2,0.0,2,0.0,3
K2Sb2Cs,0.0,2,0.0,3
Na2CoSe2,0.0,0,0.0,2
Sc2CoRu,0.0,0,0.0,2
Ag2Cl2O4,0.522174,0,2.202747,5
AlCrTc2,0.0,0,0.0,3
MoOs,0.0,2,0.0,3
RhBaTl,0.0,2,0.0,3
YAg2,0.0,2,0.0,3
MoTc,0.0,2,0.0,3
Si2SrRe,0.0,2,0.0,3
FeRh8,0.0,2,0.0,3
NaAgPb,0.0,2,0.0,3
SbTeU,0.0,2,0.0,3
CrPt3,0.0,2,0.0,3
Ca2HgTl,0.0,2,0.0,3
Co4TaAu,0.0,2,0.0,3
LiIr5,0.0,2,0.0,3
EuCo8P5,0.0,0,0.0,6
Cl4EuPb,0.188,2,0.344,3
AsPdPt2,0.0,2,0.0,3
MgSmPt,0.0,2,0.0,3
Li5O8Si2V,0.6459,2,1.8268,3
MgBaTl3,0.0,2,0.0,3
B2Fe2Ce,0.0,2,0.0,3
MgCo4Dy,0.0,2,0.0,3
Cu4Se4O12,1.049529,0,2.894107,5
Pm3Gd,0.0,0,0.0,2
Fe3CoTm2,0.0,2,0.0,3
CaAg2Sb2,0.0,2,0.0,3
Mn2CuSe4,0.0,2,0.0,3
Y2Ru2Tl,0.0,2,0.0,3
O6ZnSr2Ru,0.0,2,0.0,3
Ba3PN,0.0,0,0.0,6
Mn7Fe,0.0,2,0.0,3
Mg5Tl2,0.0,0,0.0,3
TiZr2,0.0,2,0.0,3
Cd2NdAc,0.0,2,0.0,3
Si2PrOs,0.0,2,0.0,3
Ba(ZnP)2,0.0,0,0.238663,4
NbRh2In,0.0,2,0.0,3
GaIr2Ac,0.0,2,0.0,3
BCo4Tb,0.0,2,0.0,3
CBr2Er2,0.7397,2,1.0917,3
Li2AgBi,0.0,0,0.0,3
Mn2ITb2,0.0,2,0.0,3
ZrAu,0.0,0,0.0,3
V1O1Cl2,0.8767469999999999,0,1.467579,5
SiCoNb4,0.0,2,0.0,3
O6MgSnDy2,3.8633,2,4.564,3
Cu2InPr2,0.0,2,0.0,3
Zn3Rh2Tm,0.0,2,0.0,3
Al3Si2RhGd3,0.0,2,0.0,3
NaSr2Pb,0.0,2,0.0,3
F8Sc2Eu,0.0981,2,0.1295,3
O6Sr2RhCd,0.0,2,0.3936,3
PRhEr,0.0,2,0.0,3
MgS4CrLu,0.5406,2,1.6534,3
F6ZnHf,6.1037,2,6.7448,3
AgLaAu2,0.0,2,0.0,3
MgRuTm,0.0,2,0.0,3
O3Ac2,3.541,2,4.2205,3
Sc3Co2Ru,0.0,2,0.0,3
Sc2CuAu,0.0,0,0.0,3
NiZr6Tl2,0.0,2,0.0,3
YBi2BrO4,1.339999999999999,0,2.17342,4
Al5FeHo,0.0,2,0.0,3
Li3In,0.0,2,0.0,3
Ta5W4,0.0,2,0.0,3
SiAu3,0.0,2,0.0,3
H6Tm2Os,0.0,2,0.0,3
SnAu2Pa,0.0,2,0.0,3
NiPtAc2,0.0,2,0.0,3
SeBiPa,0.0,2,0.0,3
H3O5NaS,5.647,2,6.2275,3
YPb2,0.0,2,0.0,3
In5Sb,0.0,2,0.0,3
Y2CdHg,0.0,2,0.0,3
SiEu2,0.0,2,0.0,3
CaGePt,0.0,2,0.0,3
Ni3Tc,0.0,2,0.0,3
Cs2Pd3Se4,1.27106,4,1.839542999999999,5
N2SmEr,0.0,2,0.2076,3
CeTmPb,0.0,2,0.0,3
Ni2ZnGa,0.0,2,0.0,3
SiCdBa,0.0,2,0.0,3
Ca2CdBi2,0.0,2,0.0687,3
O4EuHo,0.0,2,0.0,3
H6Rb3In,1.6957,2,2.3434,3
MnAu5,0.0,2,0.0,3
P2ScCu2Rb,0.0,2,0.0,3
MnCo3Hf2,0.0,2,0.0,3
Be2As2In,0.0,2,0.0,3
B2Ti2Cr,0.0,2,0.0,3
NaCa2Cu2,0.0,2,0.0,3
CaCu5,0.0,0,0.0,3
FeGe2Hf2,0.0,2,0.0,3
CuMoRh,0.0,2,0.0,3
BCo4Er,0.0,2,0.0,3
Co3Ce2,0.0,2,0.0,3
As2DyIr2,0.0,2,0.0,3
